2.40	2600.00	0.60	0.90	0.75	3.00	0.61	0.55	0.03	0.09	0.039	4.10
1.25	2670.00	0.40	0.60	0.32	1.00	0.58	0.35	0.03	0.03	0.025	0.50
1.08	2650.00	0.60	0.60	0.56	1.00	0.89	0.54	0.04	0.04	0.037	3.00
1.16	2650.00	0.40	0.55	0.35	1.00	0.61	0.34	0.04	0.04	0.035	4.70
1.32	2650.00	0.60	0.55	0.45	1.00	0.97	0.54	0.04	0.04	0.030	2.50
3.02	2650.00	0.70	0.70	0.46	2.00	0.93	0.65	0.03	0.06	0.021	0.50
2.38	2650.00	0.70	0.60	0.59	2.00	1.08	0.65	0.03	0.06	0.026	0.50
2.86	2650.00	0.50	0.60	1.05	6.00	0.72	0.43	0.04	0.25	0.086	5.50
1.39	2650.00	0.60	0.45	0.43	1.00	1.19	0.53	0.04	0.04	0.030	2.20
2.16	2650.00	0.70	0.75	0.65	2.00	0.80	0.60	0.06	0.13	0.058	6.80
8.80	2610.00	0.75	0.60	1.02	12.00	0.67	0.40	0.09	1.12	0.127	15.20
5.60	2660.00	0.75	0.70	0.94	7.00	1.00	0.70	0.03	0.22	0.040	3.00
3.78	2550.00	0.75	0.50	1.39	7.00	1.00	0.50	0.06	0.44	0.117	18.00
12.00	2660.00	0.80	0.66	0.67	10.00	0.99	0.65	0.09	0.93	0.078	5.50
6.53	2600.00	0.80	0.60	0.98	8.00	1.17	0.70	0.06	0.50	0.077	11.00
7.68	2600.00	0.75	0.80	0.78	8.00	0.81	0.65	0.06	0.50	0.066	10.00
9.00	2650.00	0.80	0.50	1.42	16.00	1.50	0.75	0.03	0.50	0.055	2.00
6.30	2650.00	0.60	0.60	0.95	10.00	0.92	0.55	0.03	0.31	0.049	5.00
3.60	2650.00	0.60	0.60	1.33	8.00	0.92	0.55	0.03	0.25	0.069	8.00
8.51	2650.00	0.75	0.60	1.06	12.00	1.17	0.70	0.03	0.37	0.044	2.00
8.42	2650.00	0.75	0.60	0.89	10.00	1.17	0.70	0.03	0.31	0.037	5.00
5.02	2650.00	0.75	0.60	1.19	8.00	1.17	0.70	0.03	0.25	0.049	2.00
5.60	2650.00	0.60	0.70	0.86	8.00	0.79	0.55	0.03	0.25	0.044	1.50
7.26	2650.00	0.60	0.80	0.83	10.00	0.69	0.55	0.03	0.31	0.043	1.50
6.24	2650.00	0.70	0.60	0.67	6.00	1.08	0.65	0.03	0.19	0.030	1.00
2.02	2725.00	0.80	0.70	0.40	1.00	1.03	0.72	0.05	0.05	0.025	0.50
2.43	2650.00	0.70	0.75	1.15	4.00	0.80	0.60	0.06	0.25	0.102	10.00
1.89	2670.00	0.75	0.70	0.79	2.00	1.00	0.70	0.03	0.06	0.033	2.00
8.06	2625.00	0.70	0.50	1.39	16.00	1.20	0.60	0.06	1.00	0.124	17.00
4.50	2625.00	0.65	0.60	0.87	6.00	0.92	0.55	0.06	0.38	0.084	8.00
5.32	2625.00	0.75	0.70	1.13	8.00	0.98	0.68	0.04	0.33	0.062	6.00
10.50	2625.00	0.60	0.60	1.03	18.00	0.92	0.55	0.03	0.56	0.053	5.00
4.05	2650.00	0.60	0.50	0.89	6.00	1.10	0.55	0.03	0.19	0.046	3.00
6.93	2650.00	0.75	0.60	0.65	6.00	1.17	0.70	0.03	0.19	0.027	2.00
11.25	2650.00	1.00	0.70	0.53	6.00	1.33	0.93	0.04	0.25	0.022	1.00
5.67	2700.00	0.90	0.90	0.48	3.00	0.93	0.83	0.04	0.12	0.022	0.50
5.18	2510.00	0.80	0.70	0.46	3.00	0.71	0.50	0.07	0.20	0.039	4.00
0.79	2490.00	0.40	0.50	0.51	1.00	0.66	0.33	0.04	0.04	0.053	7.00
2.07	2560.00	0.70	0.60	0.68	2.00	0.92	0.55	0.07	0.10	0.048	4.00
